window,entry_date,exit_date,entry_price,exit_price,return_pct,hold_days,exit_reason
1,2023-01-03,2023-01-25,1839.699951,1941.199951,0.05464445,15,take_profit
1,2023-01-26,2023-01-31,1929.099976,1929.500000,-0.00029274,3,signal_exit
1,2023-02-15,2023-02-16,1834.199951,1842.000000,0.00375044,1,signal_exit
1,2023-02-21,2023-02-22,1833.000000,1832.000000,-0.00104528,1,signal_exit
1,2023-02-23,2023-02-24,1818.000000,1808.800049,-0.00555795,1,signal_exit
1,2023-02-27,2023-02-28,1817.000000,1828.900024,0.00604600,1,signal_exit
1,2023-03-02,2023-03-03,1833.500000,1847.699951,0.00724085,1,signal_exit
1,2023-03-07,2023-03-08,1813.900024,1812.699951,-0.00116127,1,signal_exit
1,2023-03-09,2023-03-17,1829.300049,1969.800049,0.07626693,6,take_profit
1,2023-03-20,2023-03-21,1979.199951,1938.000000,-0.02130606,1,stop_loss
1,2023-03-22,2023-03-24,1946.800049,1982.099976,0.01762322,2,signal_exit
1,2023-05-04,2023-05-05,2048.000000,2017.400024,-0.01543392,1,signal_exit
1,2023-05-09,2023-05-11,2036.199951,2014.699951,-0.01105361,2,signal_exit
1,2023-05-18,2023-05-19,1956.500000,1978.699951,0.01084109,1,signal_exit
1,2023-05-25,2023-05-26,1943.099976,1944.099976,0.00001438,1,signal_exit
1,2023-05-30,2023-05-31,1958.000000,1963.900024,0.00251178,1,signal_exit
1,2023-06-02,2023-06-05,1952.400024,1958.000000,0.00236682,1,signal_exit
1,2023-06-07,2023-06-08,1942.699951,1963.599976,0.01025286,1,signal_exit
1,2023-06-12,2023-06-13,1955.300049,1944.599976,-0.00596961,1,signal_exit
2,2023-07-14,2023-08-02,1960.099976,1937.400024,-0.01207523,13,stop_loss
2,2023-11-21,2023-12-11,1999.300049,1978.000000,-0.01114843,13,stop_loss
2,2023-12-19,2024-01-03,2038.400024,2034.199951,-0.00255945,9,end_of_data
3,2024-01-31,2024-02-05,2048.399902,2025.699951,-0.01157626,3,signal_exit
3,2024-02-13,2024-02-14,1992.900024,1990.300049,-0.00180397,1,signal_exit
3,2024-02-21,2024-02-23,2022.300049,2038.599976,0.00755606,2,take_profit
3,2024-02-26,2024-02-29,2028.500000,2045.699951,0.00797491,3,take_profit
3,2024-03-01,2024-03-04,2086.899902,2117.699951,0.01425138,1,take_profit
3,2024-03-05,2024-03-06,2133.500000,2150.300049,0.00737047,1,take_profit
3,2024-03-07,2024-03-08,2158.000000,2178.600098,0.00904115,1,take_profit
3,2024-03-11,2024-03-19,2182.500000,2156.300049,-0.01249856,6,signal_exit
3,2024-03-21,2024-03-22,2182.399902,2158.100098,-0.01162887,1,signal_exit
3,2024-03-27,2024-03-28,2190.600098,2217.399902,0.01172788,1,take_profit
3,2024-04-01,2024-04-02,2236.500000,2261.000000,0.01044914,1,take_profit
3,2024-04-03,2024-04-05,2294.399902,2325.699951,0.01313511,2,take_profit
3,2024-04-08,2024-04-09,2331.699951,2343.500000,0.00455818,1,take_profit
3,2024-04-10,2024-04-11,2329.600098,2354.800049,0.01031188,1,take_profit
3,2024-04-12,2024-04-16,2356.199951,2390.800049,0.01417736,2,take_profit
3,2024-04-17,2024-04-19,2371.699951,2398.399902,0.01075210,2,take_profit
3,2024-05-10,2024-05-13,2367.300049,2336.100098,-0.01367296,1,signal_exit
3,2024-05-15,2024-05-17,2388.699951,2412.199951,0.00933307,2,take_profit
3,2024-05-20,2024-05-23,2433.899902,2335.000000,-0.04111402,3,stop_loss
3,2024-06-20,2024-06-21,2353.800049,2316.399902,-0.01638132,1,signal_exit
3,2024-07-03,2024-07-05,2359.800049,2388.500000,0.01165595,1,take_profit
