entry_date,exit_date,entry_price,exit_price,return_pct,hold_days,exit_reason
2020-03-13,2020-03-20,1515.699951,1484.000000,-0.02140394,5,sma_cross_down
2020-04-21,2020-05-19,1678.199951,1744.199951,0.03880819,20,max_hold_days
2020-05-21,2020-06-16,1720.500000,1729.599976,0.00478650,17,sma_cross_down
2020-08-11,2020-09-09,1932.599976,1944.699951,0.00575785,20,max_hold_days
2020-09-10,2020-09-22,1954.199951,1898.599976,-0.02893730,8,sma_cross_down
2021-01-08,2021-01-22,1834.099976,1855.699951,0.01127099,9,sma_cross_down
2021-04-29,2021-05-17,1768.099976,1867.500000,0.05569044,12,rsi_exit
2021-06-11,2021-06-17,1877.400024,1773.800049,-0.05565509,4,stop_loss
2021-06-18,2021-06-24,1767.900024,1775.599976,0.00385324,4,sma_cross_down
2021-09-02,2021-09-17,1808.699951,1749.400024,-0.03326955,10,stop_loss
2021-10-29,2021-11-29,1783.000000,1782.300049,-0.00089237,20,max_hold_days
2021-11-30,2021-12-07,1773.599976,1782.599976,0.00457189,5,sma_cross_down
2022-01-03,2022-02-01,1799.400024,1800.300049,-0.00000007,20,max_hold_days
2022-02-02,2022-02-24,1809.199951,1925.099976,0.06352945,15,rsi_exit
2022-03-15,2022-04-12,1928.500000,1972.099976,0.02209693,20,max_hold_days
2022-04-19,2022-04-25,1955.699951,1893.199951,-0.03244189,4,stop_loss
2022-04-26,2022-04-28,1901.400024,1888.699951,-0.00717599,2,sma_cross_down
2022-08-15,2022-08-26,1781.400024,1736.099976,-0.02591675,9,sma_cross_down
2022-12-15,2023-01-13,1777.199951,1918.400024,0.07891114,19,rsi_exit
2023-02-03,2023-02-21,1862.900024,1833.000000,-0.01654223,11,sma_cross_down
2023-04-21,2023-05-19,1979.500000,1978.699951,-0.00090397,20,max_hold_days
2023-05-22,2023-05-24,1974.800049,1962.800049,-0.00657353,2,sma_cross_down
2023-07-24,2023-08-10,1960.300049,1914.400024,-0.02390309,13,sma_cross_down
2023-11-08,2023-12-01,1951.500000,2071.000000,0.06070433,16,rsi_exit
2023-12-08,2024-01-09,1998.300049,2026.400024,0.01355491,20,max_hold_days
2024-01-10,2024-01-24,2021.699951,2013.900024,-0.00435617,9,sma_cross_down
2024-02-08,2024-02-14,2032.199951,1990.300049,-0.02110769,4,sma_cross_down
2024-04-30,2024-05-29,2291.399902,2340.300049,0.02083006,20,max_hold_days
2024-05-30,2024-06-10,2342.899902,2307.699951,-0.01551658,7,sma_cross_down
2024-07-19,2024-08-16,2395.500000,2498.600098,0.04251755,20,max_hold_days
2024-09-06,2024-09-20,2493.500000,2619.899902,0.05016641,10,rsi_exit
2024-10-08,2024-10-22,2615.000000,2744.199951,0.04888254,10,rsi_exit
2024-11-06,2024-11-13,2667.600098,2580.800049,-0.03302236,5,stop_loss
2024-11-14,2024-11-18,2568.199951,2610.600098,0.01600142,2,sma_cross_down
